iteration,field,type,id,2022-01-01 12:00:00
6,p_mw,load,load3,8.67592252568726
6,p_mw,load,load6,0.0
6,p_mw,load,load9,0.0
6,q_mvar,load,load1,6.583496876167739e-16
6,q_mvar,load,load11,7.780059712952044e-19
6,q_mvar,load,load14,0.0
6,q_mvar,load,load17,0.0
6,q_mvar,load,load2,7.780206703535848e-19
6,q_mvar,load,load3,7.780072226848563e-19
6,q_mvar,load,load6,0.0
6,q_mvar,load,load9,0.0
6,energy_not_served_mwh,network,,22.23318411849014
6,loss_of_load_p_duration_h,network,,1.0
6,loss_of_load_p_mw,network,,22.233475585032398
6,loss_of_load_p_percentage,network,,23.225065339491653
6,in_service,trafo,TR1,1.0
