,z
401,0.007325254461888253
402,0.007344627295399975
403,0.007364002137682402
404,0.007383378989152201
405,0.007402757850225927
406,0.00742213872132047
407,0.007441521602853163
408,0.007460906495240671
409,0.0074802933989005505
410,0.0074996823142502445
411,0.007519073241707086
412,0.007538466181688963
413,0.0075578611346134306
414,0.007577258100898598
415,0.007596657080962466
416,0.007616058075223031
417,0.007635461084098849
418,0.007654866108008362
419,0.007674273147369903
420,0.007693682202602248
421,0.007713093044443564
422,0.007732505843423665
423,0.007751920661605904
424,0.007771337499413167
425,0.007790756357268336
426,0.0078101772355942956
427,0.007829600134814263
428,0.007849025055351455
429,0.007868451997629533
430,0.007887880962071603
431,0.00790731194910188
432,0.007926744959144028
433,0.007946179992622038
434,0.007965617049960128
435,0.007985056131582513
436,0.008004497237913855
437,0.008023940369378701
438,0.008043385526401825
439,0.008062832709408219
440,0.008082281918822765
441,0.0081017331550709
442,0.008121186418577953
443,0.008140641709769025
444,0.008160099029070444
445,0.008179558376907536
446,0.008199019753706627
447,0.008218497037241868
448,0.008237962473530924
449,0.008257429940061067
450,0.008276899437258067
451,0.00829637096554936
452,0.008315844525361382
453,0.008335320117121237
454,0.008354797741256026
455,0.008374270708858433
456,0.008393753823368932
457,0.008413242812184918
458,0.008432728570094583
459,0.008452216362517584
460,0.008471706189881578
461,0.008491198052615001
462,0.008510691951146399
463,0.008530187885904095
464,0.008549685857316969
465,0.008569185865813456
466,0.00858868791182299
467,0.00860819199577445
468,0.00862769811809716
469,0.008647206279220665
470,0.008666716479574288
471,0.008686228719588018
472,0.008705742999691846
473,0.008725259320315648
474,0.008744777681889415
475,0.008764298084843802
476,0.008783820529609243
477,0.008803345016616393
478,0.008822871546296018
479,0.008842400119079108
480,0.00886193073539665
481,0.00888146339568019
482,0.008900998100360713
483,0.00892053484987021
484,0.008940073644640223
485,0.00895961448510263
486,0.008979157371689195
487,0.008998702304832684
488,0.009018249284964974
489,0.009037798312518719
490,0.009057349387926239
491,0.009076902511620633
492,0.00909645768403533
493,0.00911601490560221
494,0.009135574176755368
495,0.009155135497928124
496,0.00917469886955391
497,0.0091942642920666
498,0.009213831765899627
499,0.009233401291486865
500,0.009252972684794414
501,0.00927254630731622
502,0.00929212198275986
503,0.009311699711560761
504,0.009331279494154243
505,0.009350861330976512
506,0.009370445222465107
507,0.009390031169057234
508,0.009409619171189987
509,0.009429209229300684
510,0.009448801343826974
511,0.009468395515206729
512,0.00948799174387771
513,0.009507590030278013
514,0.00952719037484595
515,0.009546792778019841
516,0.009566397240238556
517,0.00958600376194041
518,0.009605612343564718
519,0.009625222985550352
520,0.009644835688336406
521,0.009664450452362638
522,0.009684067278068254
523,0.009703686165893122
524,0.009723307116277335
525,0.009742930129660654
526,0.009762555206483392
527,0.009782182347186086
528,0.009801811552209272
529,0.009821442821993487
530,0.009841076156979711
531,0.009860711557608925
532,0.009880349024322443
533,0.0098999885575618
534,0.009919630157768089
535,0.009939273825383399
536,0.0099589195608496
537,0.00997856736460856
538,0.00999821723710248
539,0.010017869178774008
540,0.010037523190065012
541,0.010057179271419026
542,0.010076837423278251
543,0.010096497646086222
544,0.010116159940285807
545,0.010135824306320318
546,0.01015549074463351
547,0.010175159255668809
548,0.0101948298398703
549,0.010214502497681965
550,0.01023417722954778
551,0.01025385403591239
552,0.010273532917219885
553,0.010293213873915241
554,0.010312896906443214
555,0.010332582015249003
556,0.010352269200777364
557,0.01037195846347383
558,0.010391649803783931
559,0.010411343222153202
560,0.010431038719027619
561,0.010450736294853047
562,0.010470435950075685
563,0.010490137685141843
564,0.01050984150049783
565,0.010529547396590622
566,0.01054925537386664
567,0.010568965432773192
568,0.010588677573757144
569,0.010608391797265915
570,0.010628108103746814
571,0.010647826493647705
572,0.01066754696741612
573,0.010687269525500365
574,0.010706994168347972
575,0.010726720896407915
576,0.01074644971012817
577,0.010766180609957265
578,0.010785913596344288
579,0.0108056486697381
580,0.010825385830587675
581,0.01084512507934221
582,0.010864866416451013
583,0.010884609842364168
584,0.010904355357531093
585,0.01092410296240176
586,0.010943852657426478
587,0.010963604443054664
588,0.010983358319737624
589,0.011003114287925442
590,0.01102287234806898
591,0.01104263250061921
592,0.011062394746026882
593,0.011082159084743526
594,0.011101925517220335
595,0.011121694043908947
596,0.011141464665261114
597,0.011161237381728584
598,0.01118101219376344
599,0.011200789101817654
600,0.011220568106343976
601,0.011240349207794709
602,0.01126013240662238
603,0.011279917703280296
604,0.011299705098220869
605,0.011319494591897739
606,0.011339286184764097
607,0.011359079877273248
608,0.011378875669879052
609,0.011398673563035144
610,0.011418473557195719
611,0.011438275652814855
612,0.011458079850346636
613,0.01147788615024592
614,0.01149769463960526
615,0.01151750480785041
616,0.01153731711749939
617,0.011557131569032264
618,0.011576948162929313
619,0.011596766899670818
620,0.011616587779738174
621,0.011636410803612551
622,0.011656240449593347
623,0.011676063984474072
624,0.011695892742898062
625,0.01171572434682222
626,0.011735558096966026
627,0.01175539399381309
628,0.011775232037847472
629,0.01179507222955356
630,0.011814914569415746
631,0.011834759057919308
632,0.011854605695549858
633,0.011874454346670671
634,0.011894304901551078
635,0.011914157568838069
636,0.011934012348989498
