strata,iteration,field,type,id,2022-01-01 13:00:00
0,0,q_mvar,gen,g0,6.499497788689261
0,0,q_mvar,gen,g1,2.560610200954973
0,0,q_mvar,gen,g11,-2.2508468013533
0,0,q_mvar,gen,g16,-2.0105030923042246
0,0,q_mvar,gen,g18,-3.0392246876945124
0,0,q_mvar,gen,g7,-0.7897781152726175
0,0,i_ka,line,line1,0.23584436588316715
0,0,i_ka,line,line10,0.12381077253620897
0,0,i_ka,line,line11,0.10081368905084191
0,0,i_ka,line,line12,0.026016148578219954
0,0,i_ka,line,line13,0.02459759934570454
0,0,i_ka,line,line14,0.05854852173394022
0,0,i_ka,line,line15,0.08238263135527173
0,0,i_ka,line,line16,0.14278216749593783
0,0,i_ka,line,line17,0.06007773559517398
0,0,i_ka,line,line2,0.16044117358804655
0,0,i_ka,line,line4,0.011129418533214792
0,0,i_ka,line,line5,0.12968655708830243
0,0,i_ka,line,line6,0.1389740203635782
0,0,i_ka,line,line7,0.015405581587189684
0,0,i_ka,line,line8,0.06193068130036099
0,0,i_ka,line,line9,0.051846237573607505
0,0,in_service,line,line1,1.0
0,0,in_service,line,line10,1.0
0,0,in_service,line,line11,1.0
0,0,in_service,line,line12,1.0
0,0,in_service,line,line13,1.0
0,0,in_service,line,line14,1.0
0,0,in_service,line,line15,1.0
0,0,in_service,line,line16,1.0
0,0,in_service,line,line17,1.0
0,0,in_service,line,line2,1.0
0,0,in_service,line,line4,1.0
0,0,in_service,line,line5,1.0
0,0,in_service,line,line6,1.0
0,0,in_service,line,line7,1.0
0,0,in_service,line,line8,1.0
0,0,in_service,line,line9,1.0
0,0,loading_percent,line,line1,50.17965231556748
0,0,loading_percent,line,line10,26.34271756089553
0,0,loading_percent,line,line11,21.449721074647215
0,0,loading_percent,line,line12,5.535350761323395
0,0,loading_percent,line,line13,5.233531775681817
0,0,loading_percent,line,line14,12.457132283817069
0,0,loading_percent,line,line15,17.52821943729186
0,0,loading_percent,line,line16,30.379184573603794
0,0,loading_percent,line,line17,12.782496935143401
0,0,loading_percent,line,line2,34.13641991235033
0,0,loading_percent,line,line4,2.367961390045701
0,0,loading_percent,line,line5,27.592884486872858
0,0,loading_percent,line,line6,29.568940502888978
0,0,loading_percent,line,line7,3.2777833164233368
0,0,loading_percent,line,line8,13.176740702204468
0,0,loading_percent,line,line9,11.031114377363298
0,0,pl_mw,line,line1,1.1281327616011225
0,0,pl_mw,line,line10,0.20954813846370612
0,0,pl_mw,line,line11,0.1413321671196215
0,0,pl_mw,line,line12,0.009077632117679535
0,0,pl_mw,line,line13,0.008470507833167495
0,0,pl_mw,line,line14,0.05069221698935422
0,0,pl_mw,line,line15,0.10242052464674956
0,0,pl_mw,line,line16,0.3137568477981958
0,0,pl_mw,line,line17,0.05650074790040627
0,0,pl_mw,line,line2,0.37394626266601705
0,0,pl_mw,line,line4,0.001226799228811526
0,0,pl_mw,line,line5,0.20553780556868873
0,0,pl_mw,line,line6,0.24128579085350665
0,0,pl_mw,line,line7,0.002648565172620465
0,0,pl_mw,line,line8,0.05010137024535588
0,0,pl_mw,line,line9,0.0351791342290273
0,0,ql_mvar,line,line1,1.2400537733851884
0,0,ql_mvar,line,line10,-0.3211157789151695
0,0,ql_mvar,line,line11,-0.4933348781802622
0,0,ql_mvar,line,line12,-0.7872412681642569
0,0,ql_mvar,line,line13,-0.8096279222688183
0,0,ql_mvar,line,line14,-0.7354795549921473
0,0,ql_mvar,line,line15,-0.6514774280402374
0,0,ql_mvar,line,line16,-0.23553512222244688
0,0,ql_mvar,line,line17,-0.783125025571278
0,0,ql_mvar,line,line2,-0.026324551539883778
0,0,ql_mvar,line,line4,-0.6763534438224795
0,0,ql_mvar,line,line5,-0.25533331657155456
0,0,ql_mvar,line,line6,-0.20771577654443707
0,0,ql_mvar,line,line7,-0.7331883394874196
0,0,ql_mvar,line,line8,-0.6453104074997769
0,0,ql_mvar,line,line9,-0.6976683789429203
0,0,energy_not_served_mwh,load,load1,0.0
0,0,energy_not_served_mwh,load,load11,0.0
0,0,energy_not_served_mwh,load,load14,0.0
0,0,energy_not_served_mwh,load,load17,0.0
0,0,energy_not_served_mwh,load,load2,0.0
0,0,energy_not_served_mwh,load,load3,0.0
